title,category,integration_status,soroban,github_url,total_awarded_usd
Alternun,Applications,Testnet,False,https://github.com/alternun-development,32000.0
Steepx Stellar Explorer,Infrastructure & Services,Mainnet,True,https://github.com/chatch/stellarexplorer,31100.0
Scalps,Applications,Development,True,https://github.com/imobi/scalps-core-api,30600.0
Bingtellar,Applications,Mainnet,True,https://github.com/bingtellar/Bingtellar-Serverside/tree/main,30000.0
Soroban Optimistic Oracle  (SOO),Applications,Development,True,"https://github.com/stackman27/SOO (private repo, can share if needed)",30000.0
Transfuse: Multichain Asset Bridge,Developer Tooling,Development,True,https://github.com/TransfuseLabs,30000.0
Interlinked,Developer Tooling,Development,True,https://github.com/AntonTat27/interlinked-backend,30000.0
Python Stellar SDK,Developer Tooling,Mainnet,True,https://github.com/StellarCN/py-stellar-base,29860.59
MugglePay: Stripe for Stellar,Applications,Mainnet,True,https://github.com/MugglePay/stellar-pay,28000.0
Dapplooker,Infrastructure & Services,Mainnet,False,https://github.com/orgs/dapplooker/repositories,27700.0
Meta Contracts in Stellar,Infrastructure & Services,Mainnet,True,https://github.com/creit-tech,26400.0
Dfns,Infrastructure & Services,Mainnet,True,https://github.com/dfns,25000.0
Stellar DeFi Dune Dashboards,Infrastructure & Services,Development,True,https://github.com/paltalabs,25000.0
StellarGPT,Developer Tooling,Development,True,https://github.com/richafltr/StellarGPT,25000.0
Calimero Network,Developer Tooling,Development,True,https://github.com/calimero-network/core,25000.0
Soroban Timelock Contract,Developer Tooling,Mainnet,True,https://github.com/57blocks/stellar-timelock-contract,24000.0
Rehoboth Finance,Applications,Mainnet,True,https://github.com/Rehoboth-Finance,23300.0
FindTruman,Applications,Mainnet,True,https://github.com/TrumanStellar/Story-Creation,21998.0
Soroban RPC SDK,Developer Tooling,Mainnet,True,https://github.com/FrankSzendzielarz/SorobanRPCSDK,19000.0
Soroban Resource Usage Reporter,Developer Tooling,Mainnet,True,https://github.com/57blocks/stellar-resource-usage-report,18240.0
StellarTerm,Financial Protocols,Mainnet,True,https://github.com/stellarterm/,17640.89
FROST Implementation,Developer Tooling,Development,True,https://github.com/Fiono11/threshold_stellar,15000.0
DevTrak - Developer Onboarding,Applications,Mainnet,True,https://github.com/mowblox,14000.0
Stellar Light,Applications,Mainnet,True,https://github.com/Stellar-Light,13000.0
Glo Dollar,Financial Protocols,Mainnet,True,https://github.com/Glo-Foundation/glo-wallet,13000.0
JS-Capacitor Passkey Kit,Developer Tooling,Development,False,https://github.com/Argo-Navis-Dev/js-capacitor-passkey-kit,10000.0
Source of Tales,Applications,Mainnet,False,https://gitlab.com/tales,7500.0
Wadzzo,Applications,Mainnet,False,https://github.com/Wadzzo2023,5000.0
Command Robotics,Developer Tooling,Development,False,https://github.com/mukmalone/AdaptiveGoalManagement,5000.0
Zig3v2,Financial Protocols,Development,True,https://github.com/Nathanofzion/zi-playground,2500.0
CoopStable v2 - Yield sharing stablecoin,Applications,Mainnet,True,https://github.com/BreadchainCoop/coopstable-contracts/tree/main,0.0
StellarExpert,Infrastructure & Services,Mainnet,True,https://github.com/stellar-expert/stellar-expert-explorer,0.0
SDK for Stellar Qt,Developer Tooling,Mainnet,False,https://github.com/bnogalm/StellarQtSDK,0.0
